ProductTitle,ProductId,SkuId,SkuTitle,Publisher,SkuDescription,UnitOfMeasure,TermDuration,BillingPlan,Market,Currency,UnitPrice,PricingTierRangeMin,PricingTierRangeMax,EffectiveStartDate,EffectiveEndDate,Tags,ERP Price,Segment
10-year audit log retention,CFQ7TTC0HL8Z,1,10-Year Audit Log Retention Add On,Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1M,Monthly,US,USD,1.92,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,2.4,Commercial
10-year audit log retention,CFQ7TTC0HL8Z,1,10-Year Audit Log Retention Add On,Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1Y,Annual,US,USD,19.2,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,24,Commercial
10-year audit log retention,CFQ7TTC0HL8Z,1,10-Year Audit Log Retention Add On,Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1Y,Monthly,US,USD,19.2,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,24,Commercial
Advanced Communications,CFQ7TTC0HDK0,1,Advanced Communications,Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1M,Monthly,US,USD,11.52,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,14.4,Commercial
Advanced Communications,CFQ7TTC0HDK0,1,Advanced Communications,Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Annual,US,USD,115.2,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,144,Commercial
Advanced Communications,CFQ7TTC0HDK0,1,Advanced Communications,Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Monthly,US,USD,115.2,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,144,Commercial
Advanced eDiscovery Storage,CFQ7TTC0LHQD,1,Advanced eDiscovery Storage,Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1M,Monthly,US,USD,96,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,120,Commercial
Advanced eDiscovery Storage,CFQ7TTC0LHQD,1,Advanced eDiscovery Storage,Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Annual,US,USD,960,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,1200,Commercial
Advanced eDiscovery Storage,CFQ7TTC0LHQD,1,Advanced eDiscovery Storage,Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Monthly,US,USD,960,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,1200,Commercial
AI Builder Capacity Add-on T1,CFQ7TTC0LH0Z,1,AI Builder Capacity Add-on T1,Microsoft Corporation,"Build, train, and publish AI models without a single line of code or the help of a data scientist. Each add-on comes with one million credits per month.",,P1M,Monthly,US,USD,450,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,600,Commercial
AI Builder Capacity Add-on T1,CFQ7TTC0LH0Z,1,AI Builder Capacity Add-on T1,Microsoft Corporation,"Build, train, and publish AI models without a single line of code or the help of a data scientist. Each add-on comes with one million credits per month.",,P1Y,Annual,US,USD,4500,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,6000,Commercial
AI Builder Capacity Add-on T1,CFQ7TTC0LH0Z,1,AI Builder Capacity Add-on T1,Microsoft Corporation,"Build, train, and publish AI models without a single line of code or the help of a data scientist. Each add-on comes with one million credits per month.",,P1Y,Monthly,US,USD,4500,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,6000,Commercial
AI Builder Capacity Add-on T1,CFQ7TTC0LH0Z,8,AI Builder Capacity Add-on T3 (min 50 packs),Microsoft Corporation,"Build, train, and publish AI models without a single line of code or the help of a data scientist. Each add-on comes with one million credits per month. Requires minimum 50 add-ons to purchase.",,P1Y,Monthly,US,USD,2400,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,3000,Commercial
AI Builder Capacity Add-on T1,CFQ7TTC0LH0Z,8,AI Builder Capacity Add-on T3 (min 50 packs),Microsoft Corporation,"Build, train, and publish AI models without a single line of code or the help of a data scientist. Each add-on comes with one million credits per month. Requires minimum 50 add-ons to purchase.",,P1Y,Annual,US,USD,2400,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,3000,Commercial
AI Builder Capacity Add-on T1,CFQ7TTC0LH0Z,8,AI Builder Capacity Add-on T3 (min 50 packs),Microsoft Corporation,"Build, train, and publish AI models without a single line of code or the help of a data scientist. Each add-on comes with one million credits per month. Requires minimum 50 add-ons to purchase.",,P1M,Monthly,US,USD,240,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,300,Commercial
AI Builder Capacity Add-on T1,CFQ7TTC0LH0Z,9,AI Builder Capacity Add-on T2 (min 10 packs),Microsoft Corporation,"Build, train, and publish AI models without a single line of code or the help of a data scientist. Each add-on comes with one million credits per month. Requires minimum 10 add-ons to purchase.",,P1Y,Monthly,US,USD,3600,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,4500,Commercial
AI Builder Capacity Add-on T1,CFQ7TTC0LH0Z,9,AI Builder Capacity Add-on T2 (min 10 packs),Microsoft Corporation,"Build, train, and publish AI models without a single line of code or the help of a data scientist. Each add-on comes with one million credits per month. Requires minimum 10 add-ons to purchase.",,P1Y,Annual,US,USD,3600,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,4500,Commercial
AI Builder Capacity Add-on T1,CFQ7TTC0LH0Z,9,AI Builder Capacity Add-on T2 (min 10 packs),Microsoft Corporation,"Build, train, and publish AI models without a single line of code or the help of a data scientist. Each add-on comes with one million credits per month. Requires minimum 10 add-ons to purchase.",,P1M,Monthly,US,USD,360,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,450,Commercial
Business Apps (free),CFQ7TTC0LHZ0,1,Business Apps (free),Microsoft Corporation,Includes Microsoft Bookings – business apps from Office 365 that’ll help you run and grow your business. Now available in a free add-on SKU for Office 365 Enterprise E3 and E5 users.,,P1M,Monthly,US,USD,0,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,0,Commercial
Business Apps (free),CFQ7TTC0LHZ0,1,Business Apps (free),Microsoft Corporation,Includes Microsoft Bookings – business apps from Office 365 that’ll help you run and grow your business. Now available in a free add-on SKU for Office 365 Enterprise E3 and E5 users.,,P1Y,Annual,US,USD,0,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,0,Commercial
Business Apps (free),CFQ7TTC0LHZ0,1,Business Apps (free),Microsoft Corporation,Includes Microsoft Bookings – business apps from Office 365 that’ll help you run and grow your business. Now available in a free add-on SKU for Office 365 Enterprise E3 and E5 users.,,P1Y,Monthly,US,USD,0,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,0,Commercial
Dataverse Database Capacity add-on,CFQ7TTC0LHRL,2,Dataverse Database Capacity add-on,Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1M,Monthly,US,USD,36,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,48,Commercial
Dataverse Database Capacity add-on,CFQ7TTC0LHRL,2,Dataverse Database Capacity add-on,Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Annual,US,USD,360,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,480,Commercial
Dataverse Database Capacity add-on,CFQ7TTC0LHRL,2,Dataverse Database Capacity add-on,Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB",,P1Y,Monthly,US,USD,360,,,2023-09-01T00:00:00.0000000Z,2024-02-01T00:00:00.0000000Z,License,480,Commercial
Dataverse Database Capacity add-on Tier 2 (Min 1000GB),CFQ7TTC0NCD7,2,Dataverse Database Capacity add-on Tier 2 (Min 1000GB),Microsoft Corporation,"Stores table definitions, data, and generates analytics and insights. Each unit increases available tenant wide shared capacity by 1 GB. Tier 2 (Minimum purchase quantity 1000GB)",,P1M,None,US,USD,0,,,2024-01-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License;Trial,0,Commercial
